hex_id,residential,transport,medical,supermarkets,offices,education,parks,pharmacy_comp,cafe_comp,pvz_comp
89119eca083ffff,0,0,0,0,0,1,0,0,0,0
89119ed820fffff,0,0,1,0,0,0,0,0,0,0
89119ed8337ffff,0,0,1,0,0,0,0,0,0,0
89119eca1c3ffff,0,0,0,0,0,1,0,0,0,0
89119ed890bffff,2,0,1,0,0,0,0,0,0,0
89119ec1493ffff,2,2,0,2,3,0,0,3,14,2
89119ec3277ffff,5,3,0,1,0,0,0,1,2,0
89119ec3263ffff,8,4,2,1,2,0,0,3,1,2
89119ed89b7ffff,5,3,2,1,2,0,1,8,4,4
89119ec324bffff,6,4,0,0,0,0,0,4,1,2
89119ec14d3ffff,4,2,0,2,5,0,0,2,3,0
89119ed89afffff,5,3,0,2,2,0,1,0,3,2
89119ed8933ffff,3,1,1,0,4,0,1,0,1,0
89119ed8973ffff,8,3,2,2,1,0,0,2,5,2
89119ec3203ffff,5,2,0,2,1,0,0,1,3,1
89119ec320fffff,3,1,0,3,0,0,0,1,1,2
89119ec3267ffff,10,0,0,2,0,0,0,0,1,1
89119ec322bffff,10,2,1,3,2,0,1,6,5,1
89119ec335bffff,1,2,0,0,0,0,0,1,0,0
89119ed8da3ffff,8,2,1,2,1,0,0,1,2,1
89119ec32dbffff,6,2,1,4,1,0,0,3,3,2
89119ed89abffff,0,2,0,0,0,0,0,0,1,0
89119ed8d37ffff,6,3,0,5,4,0,0,6,8,2
89119ed8997ffff,2,2,1,1,1,0,0,0,1,1
89119ed8d3bffff,7,4,0,5,1,0,0,4,3,3
89119ed8d07ffff,9,2,0,5,0,0,0,5,7,1
89119ed8987ffff,5,1,0,4,2,0,0,2,1,3
89119ed8d2bffff,0,2,0,2,0,0,0,0,2,1
89119ed89bbffff,0,1,0,0,0,0,0,0,0,0
89119ed8d0bffff,2,1,0,2,0,0,0,3,1,0
89119ec1683ffff,2,2,0,3,0,0,0,1,2,1
89119ec1603ffff,30,2,0,2,0,0,0,0,0,0
89119ed8dcfffff,3,2,0,0,3,0,0,1,1,1
89119ed8d73ffff,0,3,0,0,0,0,0,1,1,0
89119ed8d33ffff,3,2,1,4,0,0,1,2,1,2
89119ed8d27ffff,3,2,0,1,0,0,0,4,1,2
89119ec320bffff,6,2,1,1,2,0,0,1,1,1
89119ec32c3ffff,6,2,0,4,0,0,0,2,1,5
89119ec32cfffff,6,2,0,1,2,1,0,5,0,2
89119ed8927ffff,9,1,0,5,2,0,0,6,6,5
89119ec3253ffff,7,0,0,1,0,0,0,1,2,1
89119ec1413ffff,6,2,1,1,0,0,0,1,3,3
89119ec3257ffff,0,2,0,3,3,0,0,3,15,0
89119ec3247ffff,7,1,0,1,2,0,0,0,0,1
89119ec3273ffff,7,2,1,1,2,0,0,3,6,4
